materials,pathString
Polymethacrylates,Trash/plastic/Polymethacrylates
PMMA,Trash/plastic/Polymethacrylates/PMMA
Poly(methacrylicacid),Trash/plastic/Polymethacrylates/Poly(methacrylicacid)
Poly(benzylmethacrylate),Trash/plastic/Polymethacrylates/Poly(benzylmethacrylate)
Poly(butylmethacrylate),Trash/plastic/Polymethacrylates/Poly(butylmethacrylate)
Poly(cyclohexylmethacrylate),Trash/plastic/Polymethacrylates/Poly(cyclohexylmethacrylate)
Poly(decylmethacrylate),Trash/plastic/Polymethacrylates/Poly(decylmethacrylate)
Poly(dodecylmethacrylate),Trash/plastic/Polymethacrylates/Poly(dodecylmethacrylate)
Poly(2-ethoxyethylmethacrylate),Trash/plastic/Polymethacrylates/Poly(2-ethoxyethylmethacrylate)
Poly(ethylmethacrylate),Trash/plastic/Polymethacrylates/Poly(ethylmethacrylate)
Poly(hexylmethacrylate),Trash/plastic/Polymethacrylates/Poly(hexylmethacrylate)
Poly(isobutylmethacrylate),Trash/plastic/Polymethacrylates/Poly(isobutylmethacrylate)
Poly(isopropylmethacrylate),Trash/plastic/Polymethacrylates/Poly(isopropylmethacrylate)
Poly(octadecylmethacrylate),Trash/plastic/Polymethacrylates/Poly(octadecylmethacrylate)
Poly(octylmethacrylate),Trash/plastic/Polymethacrylates/Poly(octylmethacrylate)
Poly(2-phenylethylmethacrylate),Trash/plastic/Polymethacrylates/Poly(2-phenylethylmethacrylate)
Poly(phenylmethacrylate),Trash/plastic/Polymethacrylates/Poly(phenylmethacrylate)
Poly(propylmethacrylate),Trash/plastic/Polymethacrylates/Poly(propylmethacrylate)
Poly(2-chloroethylmethacrylate),Trash/plastic/Polymethacrylates/Poly(2-chloroethylmethacrylate)
Poly(sec-butylmethacrylate),Trash/plastic/Polymethacrylates/Poly(sec-butylmethacrylate)
Poly(4-tert-butylcyclohexylmethacrylate),Trash/plastic/Polymethacrylates/Poly(4-tert-butylcyclohexylmethacrylate)
Poly(tert-butylmethacrylate),Trash/plastic/Polymethacrylates/Poly(tert-butylmethacrylate)
"Poly(2,2,3,3-tetrafluoropropylmethacrylate)","Trash/plastic/Polymethacrylates/Poly(2,2,3,3-tetrafluoropropylmethacrylate)"
Polyolefins,Trash/plastic/Polyolefins
Olefin,Trash/plastic/Polyolefins/Olefin
Polyolefins(POLYALKENES),Trash/plastic/Polyolefins(POLYALKENES)
Poly(butylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(butylene)
Poly(butylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(butylethylene)
Poly(cyclohexylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(cyclohexylethylene)
Poly(heptylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(heptylethylene)
Poly(hexylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(hexylethylene)
Poly(isobutene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(isobutene)
Poly(isobutylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(isobutylethylene)
Poly(isopropylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(isopropylethylene)
Poly(2-methylbutene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(2-methylbutene)
Poly(octylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(octylethylene)
Poly(pentylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(pentylethylene)
Poly(propylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(propylethylene)
Poly(tert-butylethylene),Trash/plastic/Polyolefins(POLYALKENES)/Poly(tert-butylethylene)
PE,Trash/plastic/Polyolefins(POLYALKENES)/PE
PP,Trash/plastic/Polyolefins(POLYALKENES)/PP
Polyphenylenes(POLYAROMATICS),Trash/plastic/Polyphenylenes(POLYAROMATICS)
Poly(p-phenylene),Trash/plastic/Polyphenylenes(POLYAROMATICS)/Poly(p-phenylene)
Poly(p-phenylenevinylene),Trash/plastic/Polyphenylenes(POLYAROMATICS)/Poly(p-phenylenevinylene)
Poly(p-xylene),Trash/plastic/Polyphenylenes(POLYAROMATICS)/Poly(p-xylene)
Poly(2-chloro-p-xylylene),Trash/plastic/Polyphenylenes(POLYAROMATICS)/Poly(2-chloro-p-xylylene)
Polyphenylethers(POLYPHENYLENEOXIDE),Trash/plastic/Polyphenylethers(POLYPHENYLENEOXIDE)
"Poly(2,6-dimethyl-p-phenyleneoxide)","Trash/plastic/Polyphenylethers(POLYPHENYLENEOXIDE)/Poly(2,6-dimethyl-p-phenyleneoxide)"
"Poly(2,6-diphenyl-p-phenyleneoxide)","Trash/plastic/Polyphenylethers(POLYPHENYLENEOXIDE)/Poly(2,6-diphenyl-p-phenyleneoxide)"
Poly(p-phenyleneoxide),Trash/plastic/Polyphenylethers(POLYPHENYLENEOXIDE)/Poly(p-phenyleneoxide)
Polysebacates,Trash/plastic/Polysebacates
Poly(butylenesebacate),Trash/plastic/Polysebacates/Poly(butylenesebacate)
Poly(ethylenesebacate),Trash/plastic/Polysebacates/Poly(ethylenesebacate)
Poly(hexylenesebacate),Trash/plastic/Polysebacates/Poly(hexylenesebacate)
Polysiloxanes,Trash/plastic/Polysiloxanes
