"","Brand","ItemDescription"
"512","King Oil","Vegetable"
"513","Pure Bliss","Biscuit"
"514","Parle","Biscuit"
"515","Cofco","Peanut"
"516","Fan Milk","Ice Cream"
"517","Lucozada","Soft Drink Bottles"
"518","Peak","Milk"
"519","Tom Tom","Sweet"
"520","Klin","Detergent"
"521","Cd","CD Plate"
"522","Pears","Body Cream"
"523","Rot Man","Cigar"
"524","Tooth Brush","Tooth Brush"
"525","Unknown","Water Can"
"526","Supermont","Plastic bottle"
"527","Bubble Up","Soft Drink Bottles"
"528","Oilio","Cooking oil"
"529","Nutri-Milk","Soft Drink Bottles"
"530","Tangui","Plastic bottle"
"531","Top","Soft Drink Bottles"
"532","Planet","Soft Drink Bottles"
"533","Orangina","Soft Drink Bottles"
"534","Tampico","Soft Drink Bottles"
"535","Djino","Soft Drink Bottles"
"536","Special","Soft Drink Bottles"
"537","Mayor","Cooking oil"
"538","Coca-Cola","Soft Drink Bottles"
"539","Unknown","Plastic Bags"
"540","Unknown","Plastic Bags"
"541","La Doo Waters Nig","Sachets"
"542","Barna","Sachets"
"543","Coca Cola","Plastic bottle"
"544","7Up Nigeria Ltd","Plastic bottle"
"545","Cu-Bas Intl Nig Ltd","INCESTICIDE CONTAINER"
"546","Michelle Pharmacy Ltd","DRUG BOTTLE"
"547","Close Up","TOOTHPASTE"
"548","Omo","DETERGENT POUCH"
"549","Ivory","PAD"
"550","Royal Crown Cola","Plastic bottle"
"551","Dettol","Plastic wrappers"
"552","Dettol","Plastic bottle"
"553","Bensons","Cigarette Packaging"
"554","Others","FOOD CONTAINERS"
"555","Peak Milk","Plastic wrappers"
"556","Sweetco Foods Ltd","Plastic wrappers"
"557","Master Chef","Plastic wrappers"
"558","Ok Foods","Plastic wrappers"
"559","Flents","lens cleaner"
"560","Straus Farms","yoghurt"
"561","Amazon","packaging"
"562","Safeway Signature","Garbage bags"
"563","Amazon","mailer"
"564","Pregis (Target)","air speed bag"
"565","Amazon","shipping bag"
"566","Thirster","water bottle"
"567","Safeway Signature","food container"
"568","Heinz","vinegar bottle"
"569","Meadow Gold","cottage cheese"
"570","Kotex","sanitary pad"
"571","Supermont","Plastic bottle"
"572","Planet","Soft Drink Bottles"
"573","Orangina","Soft Drink Bottles"
"574","Nutri Milk","Soft Drink Bottles"
"575","Schweppps","Soft Drink Bottles"
"576","Cocacola","Soft Drink Bottles"
"577","Djino","Soft Drink Bottles"
"578","Tangui","Plastic bottle"
"579","Opur","Plastic bottle"
"580","Mayor","Cooking Oil"
"581","Tom Tom","bubble wrap"
"582","New Food","biscuit packaging wrap"
"583","Cicam","TEXTILE"
"584","Plasticam","plastic packaging"
"585","Tamica","bottled juice"
"586","Kiss","condoms"
"587","Amie","sanitary pad"
"588","Panzani","spaghetti"
"589","Ariel","detergent"
"590","Total Clair","Body lotion"
"591","Colgate","Tooth paste"
"592","Mer Du Sud","canned fish"
"593","Maya","biscuits packaging"
"594","Vitale","bottle mineral H20"
"595","Bomkar","bubble gum wrap"
"596","Oridelle","babies napkins"
"597","Peak Milk","can"
"598","Bridel","Milk"
"599","Nivea","Body lotion"
"600","Opur","Mineral water bottle"
"601","New Food","biscuits packaging"
"602","Amie","sanitary pad"
"603","Kiss","condoms"
"604","Coca Cola/Brasserie","can"
"605","Molfix","Baby napkin"
"606","Citabac","Cigarette Packaging"
"607","Pampers","Baby napkin"
"608","Bril","detergent"
"609","Ozil","detergent"
"610","Mada","detergent"
"611","Nestle","can"
"612","Big Gum","bubble gum wrap"
"613","La Pasta","spaghetti"
"614","Omo","detergent"
"615","Blu","detergent"
"616","Faytex","sanitary pad"
"617","Mayo","Sachets"
"618","Ok.Food","biscuit packaging wrap"
"619","Maggi","spicy food ingredient pac"
"620","Nan","baby powder milk can"
"621","Dove","Body lotion"
"622","Water Pipe","pipe"
"623","Saba","bottled detergent"
"624","Tangui","Mineral water bottle"
"625","Supermont","Mineral water bottle"
"626","Biopharma","Body lotion bottle"
"627","Nido","Sachets"
"628","Fermencam","Sachets"
"629","Nescafe","Sachets"
"630","Brasserie Du Cameroon","juice bottle"
"631","Ucb","juice bottle"
"632","Mayor","Groundnut oil bottle"
"633","Broli","Spaghetti wrap"
"634","Total Clean","detergent"
"635","Tartina","chocolate container"
"636","Nutella","Chocolate bottle"
"637","Ariel","detergent"
